id,film,director,date,nationality,score,n voters,comments,link
1,Happiness,Todd Solondz,1998,USA,"7,4",18778,100,https://www.filmaffinity.com/es/film398445.html
2,Vargtimmen,Bergman,1968,Sweden,"7,4",5262,59,https://www.filmaffinity.com/es/film451511.html
3,Eraserhead,David Lynch,1977,USA,"6,8",18141,169,https://www.filmaffinity.com/es/film388347.html
4,Saló o los 120 días de Sodoma,Pasolini,1975,Italy,"6,3",13455,175,https://www.filmaffinity.com/es/film182360.html
5,¿Quién puede matar a un niño? ,Chicho Ibáñez,1976,Spain,"7,2",10586,101,https://www.filmaffinity.com/es/film294646.html
6,The Witch,Robert Eggers,2015,USA,"6,1",22269,295,https://www.filmaffinity.com/es/film613062.html
7,Santa Sangre,Alejandro Jodorowsky,1989,Mexico,"6,9",2891,32,https://www.filmaffinity.com/es/film415180.html
8,Whiplash,Damien Chazelle,2014,USA,"7,8",57341,341,https://www.filmaffinity.com/es/film206955.html
9,Tyrannosaur,Paddy Considine,2011,UK,"7,1",6495,74,https://www.filmaffinity.com/es/film411277.html
10,Pity,Babis Makridis,2018,Greece,"6,2",381,3,https://www.filmaffinity.com/es/film272029.html
11,Marlina the Murderer in Four Acts ,Mouly Surya,2017,Indonesia,"6,2",160,3,https://www.filmaffinity.com/es/film972625.html
12,Irreversible,Gaspar Noé,2002,France,"6,7",24062,202,https://www.filmaffinity.com/es/film513259.html
13,Hotaru no Haka,Takahata,1988,Japan,8,36004,225,https://www.filmaffinity.com/es/film582716.html
14,Johnny got his gun,Dalton Trumbo,1971,USA,"7,8",16484,92,https://www.filmaffinity.com/es/film746268.html
15,Canino,Lanthimos,2009,Greece,"7,1",20990,167,https://www.filmaffinity.com/es/film270437.html
16,Funny Games,Haneke,1997,Austria,"7,4",39189,320,https://www.filmaffinity.com/es/film315125.html
17,La Pianiste,Haneke,2001,France,"7,3",21395,130,https://www.filmaffinity.com/es/film112475.html
18,Holocausto Canibal,Deodato,1980,Italy,"4,6",12268,144,https://www.filmaffinity.com/es/film699569.html
19,Lilja 4-ever,Lukas Moodysson,2002,Sweden,"7,5",11292,145,https://www.filmaffinity.com/es/film220492.html
20,A Serbian Film,Srđan Spasojević,2010,Serbia,"4,6",10177,213,https://www.filmaffinity.com/es/film658584.html
21,Angst,Gerald Kargl,1983,Austria,"6,5",1169,18,https://www.filmaffinity.com/es/film269370.html
22,Festen,Thomas Vinterberg,1998,Denmark,"7,8",16679,93,https://www.filmaffinity.com/es/film986192.html
23,Climax,Gaspar Noé,2018,France,"6,7",6184,78,https://www.filmaffinity.com/es/film509136.html
24,Antichrist,Lars Von Trier,2009,Denmark,"6,1",23405,280,https://www.filmaffinity.com/es/film917722.html
25,City of Life and Death,Lu Chuan,2009,China,"7,4",9855,95,https://www.filmaffinity.com/es/film261464.html
26,Midsommar,Ari Aster,2019,USA,"6,4",11115,157,https://www.filmaffinity.com/es/film599419.html
27,Possession,Andrzej Zulawski,1981,France,"6,7",3179,36,https://www.filmaffinity.com/es/film713191.html
28,The Human Centipede,Tom Six,2009,Nederland,"5,1",14221,141,https://www.filmaffinity.com/es/film112220.html
29,Crash,David Cronenberg,1996,Canada,"6,6",22554,84, https://www.filmaffinity.com/es/film874087.html
30,Videodrome,David Cronenberg,1983,Canada,"6,7",11747,72, https://www.filmaffinity.com/es/film741689.html
31,La edad de oro,Luis Buñuel,1930,France,"7,3",4111,34,https://www.filmaffinity.com/es/film943343.html
32,We need to talk about Kevin,Lynne Ramsay,2011,UK,"7,1",15520,133,https://www.filmaffinity.com/es/film504482.html
33,The invitation,Karyn Kusama,2015,USA,"6,3",16444,121,https://www.filmaffinity.com/es/film779556.html
34,The Neon Demon,Nicolas Winding Refn,2016,Denmark,"5,6",8239,112,https://www.filmaffinity.com/es/film522774.html
35,Pink Flamingos,Jonh Waters,1972,USA,"5,8",8330,68,https://www.filmaffinity.com/es/film863782.html
36,Stalker,Andrei Tarkovsky,1979,URSS,"7,9",12400,186,https://www.filmaffinity.com/es/film534365.html
37,Grave,Julia Ducournau,2016,France,"6,2",11347,132,https://www.filmaffinity.com/es/film252645.html
38,Gerald's Game,Mike Flanagan,2017,USA,"5,6",8406,65,https://www.filmaffinity.com/es/film905912.html
39,Begotten,E. Elias Merhige,1991,USA,"5,2",1624,35,https://www.filmaffinity.com/es/film825956.html
40,La Residencia,Chicho Ibáñez,1969,Spain,"6,7",2900,38,https://www.filmaffinity.com/es/film308461.html
41,The Seventh Seal,Bergman,1957,Sweden,"8,2",31571,202,https://www.filmaffinity.com/es/film723978.html
42,Smultronstället,Bergman,1957,Sweden,"8,1",19524,122,https://www.filmaffinity.com/es/film924464.html
43,Ordet,Dreyer,1955,Denmark,"8,2",10777,121,https://www.filmaffinity.com/es/film489524.html
44,The man who laughs,Paul Leni,1928,USA,"7,4",985,6,https://www.filmaffinity.com/es/film207881.html
45,Parasite,Bong Joon-ho,2019,South Corea,8,33213,294,https://www.filmaffinity.com/es/film520465.html
46,The Lighthouse,Robert Eggers,2019,USA,"7,1",7194,106,https://www.filmaffinity.com/es/film824461.html
47,May,Lucky McKee,2002,USA,"5,9",3641,30,https://www.filmaffinity.com/es/film215578.html
48,Belle de Jour,Luis Buñuel,1967,France,"7,6",10889,56,https://www.filmaffinity.com/es/film601862.html
49,Dans ma peau,Marina de Van,2002,France,"5,9",484,3,https://www.filmaffinity.com/es/film385634.html
50,Gone Girl,David Fincher,2014,USA,"7,3",58422,399,https://www.filmaffinity.com/es/film478104.html
